"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042254","GO:0042254","ribosome biogenesis","73/257","310/18903",1.19467801692696e-70,1.17947302398425e-68,9.69461204166563e-69,"FTSJ3/EMG1/METTL16/NOP2/MRM1/METTL18/DIMT1/METTL15/FBL/RPP38/NSUN4/NSUN5/TRMT61B/DDX56/TFB2M/ZCCHC4/EXOSC2/UTP23/RPP30/MTERF4/DIS3/RPUSD2/FASTKD2/RRP9/DDX21/MPHOSPH10/EXOSC5/KRR1/FCF1/METTL5/UTP3/DDX47/TRMT112/WDR3/MRPL44/GNL2/POP4/POP7/POP5/BYSL/RPF2/DDX31/NOP14/NOP56/EXOSC8/ESF1/EXOSC10/DHX30/EXOSC1/DKC1/RRP1/RRP8/UTP14A/UTP18/NOL8/FBLL1/DDX51/DDX27/DCAF13/NSUN3/RPUSD1/PWP1/GEMIN4/LSG1/FDXACB1/DHX37/TFB1M/TRMT2B/NOL9/WDR36/EXOSC9/UTP20/RPUSD4",73
"GO:0006400","GO:0006400","tRNA modification","50/257","93/18903",1.19541174697606e-69,1.08184763101333e-67,8.89218562662891e-68,"NSUN2/METTL2B/TRMT11/ALKBH8/METTL1/TRMT10C/TRMT1L/TRDMT1/LCMT2/TRMT13/TRMT1/TRMT5/TRMT10A/METTL2A/TRMT2A/TRMT61B/TYW3/TRMT6/TRMT44/THUMPD3/TRMT61A/PUS3/TARBP1/TRMT12/TRUB1/THUMPD2/CDKAL1/CDK5RAP1/TRMT10B/METTL6/HSD17B10/WDR4/SSB/TYW1/MTO1/FTSJ1/TRMT112/BCDIN3D/WDR6/PUS10/PUS7/MOCS3/METTL8/NSUN3/TRMU/CTU2/MTFMT/TRMT2B/ELP3/RPUSD4",50
"GO:0030488","GO:0030488","tRNA methylation","36/257","42/18903",2.45234780206357e-62,2.04865362541618e-60,1.68387930052624e-60,"NSUN2/METTL2B/TRMT11/ALKBH8/METTL1/TRMT10C/TRMT1L/TRDMT1/LCMT2/TRMT13/TRMT1/TRMT5/TRMT10A/METTL2A/TRMT2A/TRMT61B/TYW3/TRMT6/TRMT44/THUMPD3/TRMT61A/TARBP1/TRMT12/THUMPD2/TRMT10B/METTL6/HSD17B10/WDR4/MTO1/FTSJ1/TRMT112/BCDIN3D/WDR6/METTL8/NSUN3/TRMT2B",36
"GO:0008380","GO:0008380","RNA splicing","59/257","469/18903",5.06495477443581e-40,3.92895777502663e-38,3.22938469828689e-38,"METTL16/METTL3/LARP7/METTL14/METTL4/PRPF4B/PPIG/DDX46/ZC3H13/CLP1/WTAP/CDC40/PRPF38B/DHX38/CWC22/TSEN2/GPATCH1/MPHOSPH10/ZCCHC8/DHX8/DHX15/SF3B1/DDX47/SNRPD3/SCAF11/DDX23/FMR1/LSM1/RBM10/CDK13/PRMT5/DBR1/PUS7/DHX16/TSEN15/HNRNPH3/RTCB/CRNKL1/SNRNP35/RBM23/SRRM2/CD2BP2/EFTUD2/SRRM1/SART3/TGS1/BUD13/GRSF1/PRPF31/RBM15B/SNRPB2/GEMIN4/PRPF3/CWC27/SUGP2/RBM12B/DDX20/RPUSD4/GEMIN5",59
"GO:0016556","GO:0016556","mRNA modification","23/257","30/18903",8.05172129493281e-38,5.82944621753135e-36,4.79148046182668e-36,"METTL16/NSUN2/TRMT10C/CMTR2/METTL3/METTL14/TRMT61B/TRMT6/CMTR1/TRMT61A/PUS3/TRUB2/TRUB1/ZC3H13/RPUSD2/WTAP/CBLL1/PCIF1/PUS7/DKC1/METTL8/PUS7L/RPUSD4",23
"GO:0000154","GO:0000154","rRNA modification","24/257","38/18903",4.36133249386104e-36,2.96025443020818e-34,2.43316444394353e-34,"FTSJ3/EMG1/METTL16/NOP2/MRM1/DIMT1/METTL15/FBL/NSUN4/NSUN5/TRMT61B/TFB2M/ZCCHC4/RPUSD2/METTL5/TRMT112/DKC1/FBLL1/NSUN3/RPUSD1/FDXACB1/TFB1M/TRMT2B/RPUSD4",24
"GO:0031167","GO:0031167","rRNA methylation","20/257","27/18903",1.79789775794234e-32,1.14853939125023e-30,9.44035479092946e-31,"FTSJ3/EMG1/METTL16/NOP2/MRM1/DIMT1/METTL15/FBL/NSUN4/NSUN5/TRMT61B/TFB2M/ZCCHC4/METTL5/TRMT112/FBLL1/NSUN3/FDXACB1/TFB1M/TRMT2B",20
"GO:0000375","GO:0000375","RNA splicing, via transesterification reactions","44/257","333/18903",1.15519199084905e-30,6.9696583447893e-29,5.72867139321636e-29,"METTL16/METTL3/LARP7/METTL14/PRPF4B/DDX46/WTAP/CDC40/DHX38/CWC22/GPATCH1/MPHOSPH10/ZCCHC8/DHX8/SF3B1/SNRPD3/SCAF11/DDX23/FMR1/LSM1/RBM10/CDK13/PRMT5/DBR1/DHX16/HNRNPH3/CRNKL1/SNRNP35/RBM23/SRRM2/CD2BP2/EFTUD2/SRRM1/SART3/TGS1/BUD13/PRPF31/RBM15B/SNRPB2/GEMIN4/PRPF3/CWC27/DDX20/GEMIN5",44
"GO:0000377","GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","42/257","329/18903",1.16037401907091e-28,6.30083092355507e-27,5.17893246406387e-27,"METTL16/METTL3/LARP7/METTL14/PRPF4B/DDX46/WTAP/CDC40/DHX38/CWC22/GPATCH1/ZCCHC8/DHX8/SF3B1/SNRPD3/SCAF11/DDX23/FMR1/RBM10/CDK13/PRMT5/DBR1/DHX16/HNRNPH3/CRNKL1/SNRNP35/RBM23/SRRM2/CD2BP2/EFTUD2/SRRM1/SART3/TGS1/BUD13/PRPF31/RBM15B/SNRPB2/GEMIN4/PRPF3/CWC27/DDX20/GEMIN5",42
"GO:0000398","GO:0000398","mRNA splicing, via spliceosome","42/257","329/18903",1.16037401907091e-28,6.30083092355507e-27,5.17893246406387e-27,"METTL16/METTL3/LARP7/METTL14/PRPF4B/DDX46/WTAP/CDC40/DHX38/CWC22/GPATCH1/ZCCHC8/DHX8/SF3B1/SNRPD3/SCAF11/DDX23/FMR1/RBM10/CDK13/PRMT5/DBR1/DHX16/HNRNPH3/CRNKL1/SNRNP35/RBM23/SRRM2/CD2BP2/EFTUD2/SRRM1/SART3/TGS1/BUD13/PRPF31/RBM15B/SNRPB2/GEMIN4/PRPF3/CWC27/DDX20/GEMIN5",42
"GO:0080009","GO:0080009","mRNA methylation","15/257","16/18903",1.05063253909599e-27,5.43327113075356e-26,4.46584658222256e-26,"METTL16/NSUN2/TRMT10C/CMTR2/METTL3/METTL14/TRMT61B/TRMT6/CMTR1/TRMT61A/ZC3H13/WTAP/CBLL1/PCIF1/METTL8",15
"GO:0031123","GO:0031123","RNA 3'-end processing","28/257","113/18903",1.14825840718756e-27,5.66822104638949e-26,4.65896234112463e-26,"TRMT10C/LARP7/FBL/PAPOLG/EXOSC2/MTPAP/CSTF1/CLP1/HSD17B10/SSB/CSTF2T/EXOSC5/CPSF2/FIP1L1/WDR33/SCAF8/PARN/INTS12/EXOSC8/EXOSC10/PTCD1/DKC1/FBLL1/CPSF7/INTS7/GRSF1/NUDT21/EXOSC9",28
"GO:0090501","GO:0090501","RNA phosphodiester bond hydrolysis","27/257","158/18903",4.21010488785748e-22,1.98790169922314e-20,1.63394459720968e-20,"RPP38/EXOSC2/UTP23/RPP30/POP1/DIS3/TSEN2/CSTF2T/EXOSC5/CPSF2/FCF1/FIP1L1/DIS3L/PARN/POP4/POP7/POP5/NOP14/EXOSC8/EXOSC10/DBR1/CPSF7/NUDT21/NOL9/EXOSC9/XRN1/UTP20",27
"GO:0090305","GO:0090305","nucleic acid phosphodiester bond hydrolysis","32/257","253/18903",7.49929742952207e-22,3.39343208685874e-20,2.78921237729593e-20,"RPP38/EXOSC2/UTP23/RPP30/POP1/DIS3/TSN/TSEN2/CSTF2T/EXOSC5/CPSF2/FCF1/FIP1L1/DIS3L/PMS2/MRPL44/PARN/POP4/POP7/POP5/NOP14/EXOSC8/EXOSC10/DBR1/ASTE1/CPSF7/NUDT21/NOL9/EXOSC9/XRN1/UTP20/DCP1A",32
"GO:0000959","GO:0000959","mitochondrial RNA metabolic process","16/257","50/18903",2.78017410815432e-18,1.20770763258224e-16,9.92668481564155e-17,"TRMT10C/TRMT5/METTL4/TRMT61B/TFB2M/MTERF4/CDK5RAP1/FASTKD2/HSD17B10/TEFM/MTO1/YARS2/GRSF1/TFB1M/SARS2/RPUSD4",16
"GO:0006401","GO:0006401","RNA catabolic process","30/257","299/18903",1.16152798075129e-17,4.85161302729192e-16,3.98775598249835e-16,"METTL16/NSUN2/TRDMT1/METTL3/METTL14/EXOSC2/MTPAP/POP1/UPF2/DIS3/FASTKD2/SSB/ZCCHC8/EXOSC5/DIS3L/PARN/FMR1/LSM1/RBM10/EXOSC8/EXOSC10/EXOSC1/DKC1/PATL1/GRSF1/EXOSC9/GSPT1/XRN1/YTHDF1/DCP1A",30
"GO:0140053","GO:0140053","mitochondrial gene expression","22/257","163/18903",5.97787231033781e-16,2.40443308482476e-14,1.97631022189726e-14,"TRMT10C/TRMT5/METTL4/TRMT61B/TFB2M/TRUB2/MTERF4/CDK5RAP1/FASTKD2/HSD17B10/TEFM/MTO1/MRPL44/QRSL1/PTCD1/YARS2/METTL8/NSUN3/MRPS31/TFB1M/SARS2/RPUSD4",22
"GO:0000966","GO:0000966","RNA 5'-end processing","11/257","23/18903",2.77261328439289e-15,1.07537786673238e-13,8.83900776377883e-14,"TRMT10C/RPP38/RPP30/POP1/HSD17B10/SSB/POP4/POP7/POP5/NOP14/UTP20",11
"GO:0071826","GO:0071826","ribonucleoprotein complex subunit organization","25/257","242/18903",3.47620572217289e-15,1.30177910837233e-13,1.06999000087209e-13,"NOP2/DDX46/CLP1/FASTKD2/DHX8/SF3B1/SNRPD3/SCAF11/DDX23/RPF2/DHX30/PRMT5/CRNKL1/CD2BP2/CPSF7/SART3/TGS1/BUD13/PRPF31/SNRPB2/GEMIN4/PRPF3/NUDT21/DDX20/GEMIN5",25
"GO:0001522","GO:0001522","pseudouridine synthesis","10/257","18/18903",7.20417301917992e-15,2.60791063294313e-13,2.14355744570687e-13,"PUS3/TRUB2/TRUB1/RPUSD2/PUS10/PUS7/DKC1/RPUSD1/PUS7L/RPUSD4",10
"GO:0022618","GO:0022618","ribonucleoprotein complex assembly","24/257","234/18903",1.49405619567477e-14,5.10017063420433e-13,4.19205650654771e-13,"NOP2/DDX46/CLP1/FASTKD2/SF3B1/SNRPD3/SCAF11/DDX23/RPF2/DHX30/PRMT5/CRNKL1/CD2BP2/CPSF7/SART3/TGS1/BUD13/PRPF31/SNRPB2/GEMIN4/PRPF3/NUDT21/DDX20/GEMIN5",24
"GO:0043628","GO:0043628","small regulatory ncRNA 3'-end processing","10/257","19/18903",1.50281270989446e-14,5.10017063420433e-13,4.19205650654771e-13,"LARP7/FBL/EXOSC2/EXOSC5/PARN/EXOSC8/EXOSC10/DKC1/FBLL1/EXOSC9",10
"GO:0034655","GO:0034655","nucleobase-containing compound catabolic process","31/257","428/18903",2.99267845578289e-14,9.84863273630369e-13,8.09502816747652e-13,"METTL16/NSUN2/TRDMT1/METTL3/METTL14/EXOSC2/MTPAP/POP1/UPF2/DIS3/FASTKD2/SSB/ZCCHC8/EXOSC5/DIS3L/PARN/FMR1/LSM1/RBM10/EXOSC8/EXOSC10/MBD4/EXOSC1/DKC1/PATL1/GRSF1/EXOSC9/GSPT1/XRN1/YTHDF1/DCP1A",31
"GO:0034661","GO:0034661","ncRNA catabolic process","13/257","49/18903",6.80300566695932e-14,2.1729600453876e-12,1.78605226178994e-12,"NSUN2/TRDMT1/EXOSC2/POP1/DIS3/ZCCHC8/EXOSC5/DIS3L/PARN/EXOSC8/EXOSC10/EXOSC9/XRN1",13
"GO:1903311","GO:1903311","regulation of mRNA metabolic process","26/257","309/18903",1.28002875681166e-13,3.9717463711356e-12,3.26455454368808e-12,"METTL16/METTL3/LARP7/METTL14/EXOSC2/DIS3/FASTKD2/WTAP/CWC22/EXOSC5/PARN/FMR1/LSM1/RBM10/EXOSC8/PRMT5/RBM23/PATL1/SRRM1/CPSF7/SLTM/RBM15B/NUDT21/EXOSC9/YTHDF1/DCP1A",26
"GO:0099116","GO:0099116","tRNA 5'-end processing","9/257","16/18903",1.45291042999992e-13,4.38294646383309e-12,3.60253814222203e-12,"TRMT10C/RPP38/RPP30/POP1/HSD17B10/SSB/POP4/POP7/POP5",9
"GO:0046700","GO:0046700","heterocycle catabolic process","31/257","468/18903",3.27509597288711e-13,9.61284926096055e-12,7.90122726887132e-12,"METTL16/NSUN2/TRDMT1/METTL3/METTL14/EXOSC2/MTPAP/POP1/UPF2/DIS3/FASTKD2/SSB/ZCCHC8/EXOSC5/DIS3L/PARN/FMR1/LSM1/RBM10/EXOSC8/EXOSC10/MBD4/EXOSC1/DKC1/PATL1/GRSF1/EXOSC9/GSPT1/XRN1/YTHDF1/DCP1A",31
"GO:0044270","GO:0044270","cellular nitrogen compound catabolic process","31/257","474/18903",4.58692396071925e-13,1.31089458456345e-11,1.07748241514956e-11,"METTL16/NSUN2/TRDMT1/METTL3/METTL14/EXOSC2/MTPAP/POP1/UPF2/DIS3/FASTKD2/SSB/ZCCHC8/EXOSC5/DIS3L/PARN/FMR1/LSM1/RBM10/EXOSC8/EXOSC10/MBD4/EXOSC1/DKC1/PATL1/GRSF1/EXOSC9/GSPT1/XRN1/YTHDF1/DCP1A",31
"GO:0031126","GO:0031126","sno(s)RNA 3'-end processing","8/257","12/18903",4.94559355078297e-13,1.37715758875649e-11,1.13194691796598e-11,"LARP7/FBL/EXOSC2/EXOSC5/PARN/EXOSC10/DKC1/FBLL1",8
"GO:0006417","GO:0006417","regulation of translation","31/257","486/18903",8.85617088209608e-13,2.40445039448908e-11,1.97632444947828e-11,"METTL16/TRMT10C/METTL18/METTL3/NSUN5/METTL14/ZCCHC4/EXOSC2/TRUB2/CDK5RAP1/DIS3/FASTKD2/EXOSC5/METTL5/PCIF1/PARN/FMR1/LSM1/EXOSC8/PUS7/PATL1/METTL8/NSUN3/EXOSC9/ELP3/GSPT1/XRN1/YTHDF1/RPUSD4/GEMIN5/DCP1A",31
"GO:0019439","GO:0019439","aromatic compound catabolic process","31/257","489/18903",1.04061057983753e-12,2.75634899927697e-11,2.26556552426759e-11,"METTL16/NSUN2/TRDMT1/METTL3/METTL14/EXOSC2/MTPAP/POP1/UPF2/DIS3/FASTKD2/SSB/ZCCHC8/EXOSC5/DIS3L/PARN/FMR1/LSM1/RBM10/EXOSC8/EXOSC10/MBD4/EXOSC1/DKC1/PATL1/GRSF1/EXOSC9/GSPT1/XRN1/YTHDF1/DCP1A",31
"GO:0043144","GO:0043144","sno(s)RNA processing","8/257","14/18903",2.93047926434522e-12,7.57738209780692e-11,6.22818650667856e-11,"LARP7/FBL/EXOSC2/EXOSC5/PARN/EXOSC10/DKC1/FBLL1",8
"GO:0006402","GO:0006402","mRNA catabolic process","22/257","248/18903",3.71431677576257e-12,9.38080934529802e-11,7.71050336804567e-11,"METTL16/METTL3/METTL14/EXOSC2/MTPAP/UPF2/DIS3/FASTKD2/SSB/EXOSC5/PARN/FMR1/LSM1/RBM10/EXOSC8/EXOSC10/PATL1/EXOSC9/GSPT1/XRN1/YTHDF1/DCP1A",22
"GO:0016073","GO:0016073","snRNA metabolic process","13/257","66/18903",4.31570449264973e-12,1.06519433614036e-10,8.75530480805495e-11,"METTL16/LARP7/METTL4/MEPCE/EXOSC2/ZCCHC8/EXOSC5/INTS12/EXOSC8/EXOSC10/DKC1/INTS7/EXOSC9",13
"GO:0043487","GO:0043487","regulation of RNA stability","19/257","187/18903",1.07453537807323e-11,2.59321204575006e-10,2.13147602480958e-10,"METTL16/NSUN2/TRDMT1/METTL3/METTL14/EXOSC2/DIS3/FASTKD2/EXOSC5/PARN/FMR1/LSM1/RBM10/EXOSC8/DKC1/PATL1/EXOSC9/YTHDF1/DCP1A",19
"GO:0031124","GO:0031124","mRNA 3'-end processing","12/257","58/18903",1.58091457599613e-11,3.73233310767783e-10,3.06777016120074e-10,"PAPOLG/MTPAP/CSTF1/CLP1/CSTF2T/CPSF2/FIP1L1/WDR33/SCAF8/CPSF7/GRSF1/NUDT21",12
"GO:0016074","GO:0016074","sno(s)RNA metabolic process","8/257","17/18903",2.28995725048811e-11,5.2753785295214e-10,4.33606764857434e-10,"LARP7/FBL/EXOSC2/EXOSC5/PARN/EXOSC10/DKC1/FBLL1",8
"GO:0000466","GO:0000466","maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","9/257","25/18903",2.331659018573e-11,5.2753785295214e-10,4.33606764857434e-10,"FTSJ3/EXOSC2/FCF1/NOP14/EXOSC8/EXOSC10/NOL9/EXOSC9/UTP20",9
