"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0071103","GO:0071103","DNA conformation change","43/1600","106/18903",2.18243577185443e-19,1.34394933703826e-17,1.11178014628582e-17,"WRNIP1/XRCC6/RECQL/MTERF1/DDX3X/ATRX/DHX9/TOP1/SSBP1/RUVBL2/TOP2A/RFC3/MCM7/RFC5/MCM2/HMGB3/MCM4/CHD1L/UPF1/MCM6/MCM3/MCM5/HMGB1/NBN/RAD50/HNRNPA2B1/DDX1/WRN/CHD4/PURA/HMGB2/CHD9/RUVBL1/SUPV3L1/G3BP1/HMGA1/RFC4/RFC2/ERCC6L/ASCC3/RPA1/XRCC5/SMARCAD1",43
"GO:2001020","GO:2001020","regulation of response to DNA damage stimulus","79/1600","312/18903",2.71383086222555e-19,1.65080345619281e-17,1.36562477277589e-17,"ATM/THOC1/SMARCD1/WRNIP1/SIRT1/ERCC8/RIF1/BRD8/TRIP12/WDR48/UBR5/FXR1/UBE2N/BCLAF1/DDX5/EP400/PARP1/BRCC3/FUS/MDM2/ATR/DHX9/SETMAR/SETD2/YEATS4/CCAR2/TAF5L/POLH/ARID1A/HNRNPK/KDM1A/NFRKB/TRRAP/RUVBL2/MMS19/XRCC1/PBRM1/ERCC4/MGMT/TP53/SF3B5/TAF5/PAXIP1/TRIM28/TAF2/DEK/BRCA1/HMGB1/PRKDC/NPM1/SMARCC1/COPS3/TTI1/ERCC1/TAF9/SF3B3/EGFR/ACTL6A/BAZ1B/POGZ/TERF2/RUVBL1/RPL26/SMARCE1/ZMPSTE24/PCNA/SMARCC2/EEF1E1/FMR1/MORF4L2/UCHL5/TAF12/CHEK1/SMARCA4/USP1/SMARCB1/SMARCA5/PPP1R10/BRD7",79
"GO:0000819","GO:0000819","sister chromatid segregation","67/1600","239/18903",4.65469666402963e-19,2.79730445303371e-17,2.31406606505975e-17,"KIF2C/ATM/SMARCD1/NIPBL/PSMG2/TUBG1/PCID2/MAD1L1/CUL3/IK/AKAP8/TPR/HNRNPU/ATRX/CDC16/SMC3/PDS5A/MIS12/PPP2R1A/ARID1A/ANAPC5/CTCF/ANAPC2/ANAPC1/PBRM1/TOP2A/SMC4/CCNB1/NCAPG/SMC2/NCAPD2/SMC1A/NUSAP1/CTNNB1/RACGAP1/PHB2/SFPQ/ZW10/SEH1L/KPNB1/SMARCC1/BUB3/RAD21/NUMA1/NUDC/STAG1/ACTL6A/CDC27/BAZ1B/TRIP13/POGZ/RIOK2/SMARCE1/PLK1/NCAPG2/SMARCC2/NCAPD3/FEN1/NCAPH/ZWILCH/DYNC1LI1/SMARCA4/RAN/SMARCB1/CDC23/SMARCA5/BRD7",67
"GO:0032784","GO:0032784","regulation of DNA-templated transcription elongation","42/1600","104/18903",6.995988914895e-19,4.1542848461305e-17,3.43662613363263e-17,"INTS9/THOC1/CCNT1/MED17/MED21/INTS1/WDR82/MED6/MED23/HNRNPU/MED7/MED14/LARP7/CCAR2/INTS3/ZNF326/MED10/ALYREF/CDK12/CDK13/INTS6/SUPT5H/NELFE/INTS5/CTNNB1/EZH2/TCERG1/NELFCD/MED24/NELFB/INTS10/MED16/HTATSF1/WDR43/CDC73/MED1/INTS12/INTS7/NCBP1/MED20/NCBP2/NELFA",42
"GO:0000959","GO:0000959","mitochondrial RNA metabolic process","29/1600","50/18903",7.27970876271253e-19,4.27190438922472e-17,3.53392673062949e-17,"YARS2/TEFM/TARS2/WARS2/METTL4/MTO1/TFB1M/POLRMT/MTERF1/DARS2/PUS1/TFAM/TRMT61B/AARS2/PNPT1/PDE12/PRKAA1/MTERF4/TRMT10C/LRPPRC/GRSF1/HSD17B10/TBRG4/TRMT5/SUPV3L1/TFB2M/FASTKD2/SLIRP/ELAC2",29
"GO:0072594","GO:0072594","establishment of protein localization to organelle","98/1600","449/18903",1.0434348721757e-18,6.05192225861905e-17,5.00644393993726e-17,"NEDD4/NMT1/NIPBL/RBM22/IPO8/CSNK2A2/NUP155/NUP188/CCT2/KPNA2/DNAJA1/NUP88/IPO5/TPR/UBR5/RANBP2/CSE1L/POM121/RAB3GAP2/LMAN1/STK3/SMURF1/AP3B1/NF1/HUWE1/TIMM9/LMNA/SRP14/TIMM23/NUP214/RUVBL2/PRKAA1/PEX13/SQSTM1/PIK3R4/TOMM34/MTERF4/MAPK8/CDK1/NUP153/SRPRB/DKC1/NUP107/PMPCA/UBE2L3/TP53/PHB2/CCT7/TRIM28/AP3D1/TSG101/RPL23/TCP1/SRP72/EIF4ENIF1/CCT8/SRP19/SEC63/KPNB1/NOLC1/IPO7/HSPD1/CCT4/CCT5/TARDBP/SUMO1/PDCD5/SRP9/NUP93/TNPO3/TIMM13/HAX1/RANBP6/NUP54/AIFM1/TNPO1/LONP2/MED1/SRP68/HSPA5/SEC13/TIMM44/TOMM22/ECT2/ELAVL1/GRPEL1/KPNA1/SNUPN/HSP90AB1/PMPCB/RAN/HSPA4/CCT6A/TIMM50/CCT3/SRP54/NUP133/PPP1R10",98
"GO:0000070","GO:0000070","mitotic sister chromatid segregation","60/1600","204/18903",2.61179697963192e-18,1.4974302683223e-16,1.2387470248224e-16,"KIF2C/ATM/SMARCD1/NIPBL/PSMG2/TUBG1/PCID2/MAD1L1/CUL3/IK/AKAP8/TPR/HNRNPU/ATRX/CDC16/SMC3/PDS5A/MIS12/PPP2R1A/ARID1A/ANAPC5/ANAPC2/ANAPC1/PBRM1/SMC4/CCNB1/NCAPG/SMC2/NCAPD2/SMC1A/NUSAP1/RACGAP1/ZW10/SEH1L/KPNB1/SMARCC1/BUB3/RAD21/NUMA1/NUDC/ACTL6A/CDC27/BAZ1B/TRIP13/POGZ/RIOK2/SMARCE1/PLK1/NCAPG2/SMARCC2/NCAPD3/NCAPH/ZWILCH/DYNC1LI1/SMARCA4/RAN/SMARCB1/CDC23/SMARCA5/BRD7",60
"GO:0034250","GO:0034250","positive regulation of cellular amide metabolic process","54/1600","170/18903",2.89965457303231e-18,1.64357693298695e-16,1.35964664190032e-16,"LARP4B/ZCCHC4/YBX1/POLR2D/PABPC1/USP16/CSDE1/FXR1/DDX3X/HNRNPU/EIF2S3/METTL5/EIF5A2/GUF1/DHX9/TRUB2/DHX29/POLDIP3/EIF2AK4/LARP4/KHDRBS1/EIF3D/CNBP/YTHDF1/RBM4/MTOR/HNRNPD/LARP1/NSUN5/C1QBP/EEF2/YTHDF2/RPS4X/RPL5/TRMT10C/PRKDC/NPM1/EIF3E/EIF4G1/EIF6/EIF5A/HNRNPL/YTHDF3/RPL26/RPS27L/ELAVL1/SYNCRIP/FMR1/FASTKD2/NAT10/ROCK2/UPF3B/MRPS27/RPS9",54
"GO:0030488","GO:0030488","tRNA methylation","26/1600","42/18903",4.74524132222106e-18,2.65946783317288e-16,2.200040920533e-16,"TRDMT1/TRMT1/TARBP1/METTL2B/WDR6/MTO1/NSUN6/TRMT13/TRMT44/TRMT6/THUMPD2/TRMT61B/METTL1/TRMT61A/TRMT11/TRMT12/TRMT2A/WDR4/TRMT112/TRMT10C/HSD17B10/TRMT5/FTSJ1/TRMT1L/TRMT2B/NSUN2",26
"GO:0032204","GO:0032204","regulation of telomere maintenance","40/1600","101/18903",1.08869519561923e-17,6.03379070638747e-16,4.9914446395642e-16,"ATM/CCT2/HNRNPU/ATRX/PARP1/EXOSC10/ATR/SMC6/MAP2K7/PARN/USP7/NFRKB/RUVBL2/HNRNPD/XRCC1/ERCC4/CTNNB1/UPF1/DKC1/CCT7/HNRNPA1/TCP1/CCT8/GNL3/NBN/RAD50/CCT4/CCT5/HNRNPA2B1/ERCC1/HNRNPC/ACTL6A/TERF2/RUVBL1/UCHL5/CCT6A/NAT10/CCT3/PPP1R10/XRCC5",40
"GO:0071897","GO:0071897","DNA biosynthetic process","58/1600","198/18903",1.18461900130269e-17,6.49327426208551e-16,5.37155174679762e-16,"ATM/ZBTB1/WRNIP1/SIRT1/CCT2/HNRNPU/POLE/EXOSC10/USP10/ATR/POLG/MAP2K7/PARN/POLK/POLH/LIG3/MEN1/NHP2/HNRNPD/RFC3/TYMS/RFC5/GAR1/CTNNB1/DKC1/TP53/VCP/CCT7/POLD3/POLA1/HNRNPA1/TCP1/CCT8/RAD50/CCT4/PTGES3/CCT5/HNRNPA2B1/HNRNPC/POLD2/DNAJC2/WRN/TERF2/POLD1/POLE3/PCNA/RFC4/HSP90AB1/CHEK1/RFC2/USP1/CCT6A/RRM1/NAT10/RPA1/CCT3/XRCC5/RFC1",58
"GO:0000469","GO:0000469","cleavage involved in rRNA processing","21/1600","28/18903",1.76816485721793e-17,9.58652859543806e-16,7.93044192253349e-16,"ABT1/NOB1/RPS21/EXOSC10/FCF1/EXOSC2/EXOSC3/KRI1/EXOSC9/NOL9/NHP2/UTP20/EXOSC8/TBL3/TSR1/ERI2/RRP36/EXOSC7/NOP14/RPP40/BMS1",21
"GO:0006368","GO:0006368","transcription elongation by RNA polymerase II promoter","41/1600","109/18903",3.8195573505903e-17,2.04859699620908e-15,1.69469890371409e-15,"INTS9/CCNT1/MED17/MED21/INTS1/POLR2I/MED6/PCID2/MED23/HNRNPU/MED7/SETD2/MED14/LARP7/CTR9/INTS3/MED10/CDK12/CDK13/INTS6/SUPT5H/NELFE/INTS5/CTNNB1/EZH2/TCERG1/NELFCD/MED24/NELFB/INTS10/MED16/TCEA1/WDR43/CDC73/MED1/INTS12/INTS7/NCBP1/MED20/NCBP2/NELFA",41
"GO:0140014","GO:0140014","mitotic nuclear division","77/1600","325/18903",4.71950296048721e-17,2.5043490177564e-15,2.07171910471555e-15,"KIF2C/ATM/SMARCD1/LSM14A/NIPBL/PSMG2/DRG1/TUBG1/ANKLE2/PCID2/MAD1L1/CUL3/IK/AKAP8/USP16/TPR/HNRNPU/ATRX/CDC16/SMC3/PDS5A/MIS12/PPP2R1A/ARID1A/ANAPC5/KIF2A/ANAPC2/GOLGA2/ANAPC1/PBRM1/SMC4/CCNB1/NCAPG/SMC2/NCAPD2/SMC1A/AURKA/NUSAP1/RACGAP1/PHB2/ZW10/RPL24/SEH1L/KPNB1/SMARCC1/BUB3/RAD21/NUMA1/NUDC/STAG1/BCCIP/ACTL6A/CDC27/BAZ1B/TRIP13/POGZ/RIOK2/RCC1/SMARCE1/PLK1/NCAPG2/CLASP1/SMARCC2/NCAPD3/BANF1/NCAPH/ZWILCH/CHEK1/DYNC1LI1/SMARCA4/RAN/SMARCB1/CDC23/PRMT5/RANBP1/SMARCA5/BRD7",77
"GO:0031056","GO:0031056","regulation of histone modification","53/1600","175/18903",6.12039076130357e-17,3.21352727551392e-15,2.65838579327535e-15,"TADA2A/NIPBL/DR1/SIRT1/RIF1/TRIP12/NSD1/AKAP8/UBR5/UBE2N/SF3B1/EHMT1/OGT/ATRX/PAXBP1/RRP8/SART3/CTR9/ATG5/SIN3A/LMNA/KDM1A/SNW1/CTCF/MYBBP1A/NELFE/RUVBL2/ZZZ3/CHTOP/DNMT3B/GLYR1/MAPK8/KANSL3/CTNNB1/TP53/PAXIP1/DEK/BRCA1/SET/SUV39H1/NOC2L/SMAD4/BAZ1B/NCAPG2/ZMPSTE24/DNMT1/HCFC1/CHEK1/SMARCB1/DDX21/SMARCA5/BRD7/NELFA",53
"GO:0006446","GO:0006446","regulation of translational initiation","35/1600","82/18903",7.10303836580788e-17,3.69062035090101e-15,3.05306035021567e-15,"EIF2B2/EIF5B/POLR2D/EIF5/TPR/CSDE1/DDX3X/ALKBH1/EIF4G2/DHX29/EIF2AK4/KHDRBS1/YTHDF1/RBM4/HSPB1/MTOR/LARP1/EIF3B/YTHDF2/EIF4B/NPM1/EIF3E/EIF4G1/MTIF2/DDX1/YTHDF3/TMED2/BZW1/FMR1/NCBP1/EIF2AK2/EIF4G3/NCBP2/EIF4A2/EIF2S1",35
"GO:1903241","GO:1903241","U2-type prespliceosome assembly","19/1600","24/18903",1.07166346363091e-16,5.51078077999068e-15,4.55878543400233e-15,"SNRPB2/SF3B1/SNIP1/SF3A3/DDX46/SNRPD3/SF3B2/SF3A2/SF3B5/SF3B4/SNRPD1/SNRPA1/HTATSF1/SF3B3/SF3A1/SNRPB/SNRPE/SNRPF/SNRPD2",19
"GO:0071824","GO:0071824","protein-DNA complex subunit organization","69/1600","277/18903",1.30025563240237e-16,6.61803581063575e-15,5.47476055748367e-15,"SMARCD1/MED17/MED21/DR1/MED6/TBP/PCID2/MED23/ATRX/GTF2B/ASF1A/GTF2A1/SART3/RRN3/MIS12/BRD2/SRCAP/MCM3AP/MED7/SETD2/YEATS4/MED14/GRWD1/MED10/ESR1/ARID1A/RNF4/NAP1L4/RUVBL2/UBTF/TAF1/HP1BP3/SSRP1/MCM2/ANP32B/ASF1B/TP53/TAF5/POLR1E/CHAF1A/MED24/TAF2/RPL23/PSMC6/HMGB1/NASP/NPM1/SMARCC1/NAP1L1/SET/MED16/TAF9/ACTL6A/HMGB2/POGZ/RUVBL1/POLE3/MED1/SMARCE1/HMGA1/SMARCC2/CAND1/TAF12/SMARCA4/SMARCB1/MED20/SMARCA5/GTF2E1/BDP1",69
"GO:0017148","GO:0017148","negative regulation of translation","66/1600","258/18903",1.43206917659374e-16,7.21531419479756e-15,5.96885823737104e-15,"IGF2BP3/LSM14A/YBX1/POLR2D/CAPRIN1/PABPC1/PAN2/TPR/CSDE1/FXR1/DDX3X/HNRNPU/TIA1/IGF2BP2/GIGYF2/CNOT4/ILF3/DHX9/DIS3/EXOSC2/IREB2/RNF139/PARN/METTL16/PNPT1/EXOSC3/EIF2AK4/EXOSC9/PDE12/DDX6/FTO/CNOT1/CNOT7/YTHDF1/RBM4/HNRNPD/DCP1A/AGO3/TYMS/UPF1/CNOT3/LARP1/KHSRP/SHMT2/YTHDF2/EIF4ENIF1/EXOSC8/EIF3E/NCL/EIF4G1/EIF6/TARDBP/SRP9/EIF4E/PURA/YTHDF3/PUS7/MRPL13/SYNCRIP/EXOSC7/MLH1/FMR1/EIF2AK2/ROCK2/EXOSC5/EIF2S1",66
"GO:0032508","GO:0032508","DNA duplex unwinding","37/1600","93/18903",1.5202755485353e-16,7.58313443609409e-15,6.27313700027198e-15,"WRNIP1/XRCC6/RECQL/DDX3X/ATRX/DHX9/SSBP1/RUVBL2/TOP2A/RFC3/MCM7/RFC5/MCM2/MCM4/CHD1L/UPF1/MCM6/MCM3/MCM5/NBN/RAD50/DDX1/WRN/CHD4/PURA/CHD9/RUVBL1/SUPV3L1/G3BP1/HMGA1/RFC4/RFC2/ERCC6L/ASCC3/RPA1/XRCC5/SMARCAD1",37
"GO:1903312","GO:1903312","negative regulation of mRNA metabolic process","37/1600","94/18903",2.3050794609498e-16,1.13838973774432e-14,9.4173126492165e-15,"LARP4B/IGF2BP3/TAF15/YBX1/PABPC1/CSDE1/ZC3H14/HNRNPU/RBM42/IGF2BP2/THRAP3/FUS/SRSF10/DHX9/METTL16/HNRNPK/RBM10/HNRNPA0/HNRNPD/SRSF6/SRSF4/LARP1/SRSF9/C1QBP/RNPS1/EIF4ENIF1/NPM1/TARDBP/HNRNPA2B1/HNRNPC/HNRNPL/RBMX/ELAVL1/SYNCRIP/HNRNPAB/FMR1/U2AF2",37
"GO:0051304","GO:0051304","chromosome separation","45/1600","135/18903",2.42627245719952e-16,1.18649480554032e-14,9.81526112716423e-15,"ATM/SMARCD1/PSMG2/CSNK2A2/PCID2/MAD1L1/CUL3/IK/TPR/CDC16/PPP2R1A/ARID1A/ANAPC5/ANAPC2/ANAPC1/PBRM1/TOP2A/SMC4/ERCC4/CCNB1/NCAPG/SMC2/CSNK2A1/ZW10/SMARCC1/BUB3/RAD21/NUMA1/ACTL6A/CDC27/TRIP13/RIOK2/SMARCE1/PLK1/NCAPG2/SMARCC2/NCAPH/MLH1/ZWILCH/DYNC1LI1/SMARCA4/SMARCB1/CDC23/BRD7/SMARCAD1",45
"GO:0000466","GO:0000466","maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","19/1600","25/18903",4.11041838453892e-16,1.99055989340584e-14,1.64668779431708e-14,"URB1/ABT1/RPS21/EXOSC10/FCF1/EXOSC2/EXOSC3/KRI1/EXOSC9/NOL9/UTP20/FTSJ3/PES1/WDR12/EXOSC8/ERI2/EXOSC7/NOP14/RPP40",19
"GO:0034243","GO:0034243","regulation of transcription elongation by RNA polymerase II","35/1600","86/18903",4.31385343127539e-16,2.06899047261554e-14,1.71156937759105e-14,"INTS9/CCNT1/MED17/MED21/INTS1/MED6/MED23/HNRNPU/MED7/MED14/LARP7/INTS3/MED10/CDK12/CDK13/INTS6/NELFE/INTS5/CTNNB1/EZH2/TCERG1/NELFCD/MED24/NELFB/INTS10/MED16/WDR43/CDC73/MED1/INTS12/INTS7/NCBP1/MED20/NCBP2/NELFA",35
"GO:0051983","GO:0051983","regulation of chromosome segregation","44/1600","132/18903",5.21288819371379e-16,2.46687197354329e-14,2.04071627406612e-14,"KIF2C/ATM/SMARCD1/PSMG2/CSNK2A2/PCID2/MAD1L1/CUL3/IK/TPR/PUM2/HNRNPU/CDC16/SMC6/ARID1A/ANAPC5/ANAPC2/ANAPC1/PBRM1/SMC4/CCNB1/NCAPG/SMC2/CSNK2A1/ZW10/SMARCC1/BUB3/RAD21/NUMA1/ACTL6A/CDC27/TRIP13/RIOK2/SMARCE1/PLK1/NCAPG2/SMARCC2/NCAPH/ZWILCH/DYNC1LI1/SMARCA4/SMARCB1/CDC23/BRD7",44
"GO:1905818","GO:1905818","regulation of chromosome separation","40/1600","111/18903",5.24235022445046e-16,2.46687197354329e-14,2.04071627406612e-14,"ATM/SMARCD1/PSMG2/CSNK2A2/PCID2/MAD1L1/CUL3/IK/TPR/CDC16/ARID1A/ANAPC5/ANAPC2/ANAPC1/PBRM1/SMC4/CCNB1/NCAPG/SMC2/CSNK2A1/ZW10/SMARCC1/BUB3/RAD21/NUMA1/ACTL6A/CDC27/TRIP13/RIOK2/SMARCE1/PLK1/NCAPG2/SMARCC2/NCAPH/ZWILCH/DYNC1LI1/SMARCA4/SMARCB1/CDC23/BRD7",40
"GO:0006310","GO:0006310","DNA recombination","76/1600","332/18903",5.74581247529436e-16,2.67851519876339e-14,2.21579782618337e-14,"ATM/THOC1/NIPBL/XRCC6/RIF1/BRD8/KPNA2/TSN/WDR48/RECQL/UBE2N/EP400/PARP1/FAN1/PALB2/FUS/KIN/SMC6/SETD2/YEATS4/MSH3/INTS3/EXOSC3/ALYREF/KDM1A/NFRKB/LIG3/TRRAP/RUVBL2/MMS19/XRCC1/TOP2A/ERCC4/MCM7/MCM2/HMGB3/MCM4/MCM6/MCM3/PAXIP1/TOPBP1/TPRKB/BRCA1/MCM5/SFPQ/HMGB1/PRKDC/NBN/RAD50/HSPD1/TFRC/ERCC1/RAD21/WRN/NONO/ACTL6A/TRIP13/HMGB2/POGZ/TERF2/RUVBL1/RPA3/SUPV3L1/FEN1/MSH6/MLH1/KPNA1/MORF4L2/UCHL5/APEX1/MSH2/CHEK1/PSMD14/RPA1/XRCC5/SMARCAD1",76
"GO:2001022","GO:2001022","positive regulation of response to DNA damage stimulus","50/1600","166/18903",5.96228532003075e-16,2.75369251632531e-14,2.27798815346204e-14,"ATM/SMARCD1/SIRT1/RIF1/BRD8/WDR48/FXR1/UBE2N/BCLAF1/DDX5/EP400/PARP1/BRCC3/FUS/ATR/DHX9/SETMAR/YEATS4/CCAR2/ARID1A/NFRKB/TRRAP/RUVBL2/MMS19/XRCC1/PBRM1/MGMT/PAXIP1/TRIM28/BRCA1/HMGB1/PRKDC/SMARCC1/TTI1/EGFR/ACTL6A/POGZ/RUVBL1/RPL26/SMARCE1/PCNA/SMARCC2/EEF1E1/FMR1/MORF4L2/UCHL5/SMARCA4/USP1/SMARCB1/BRD7",50
"GO:0098813","GO:0098813","nuclear chromosome segregation","74/1600","321/18903",9.37917750964898e-16,4.29204930441552e-14,3.5505915826001e-14,"KIF2C/ATM/SMARCD1/NIPBL/MAP1S/PSMG2/TUBG1/PCID2/MAD1L1/CUL3/IK/AKAP8/TPR/HNRNPU/ATRX/CDC16/SMC3/PDS5A/MIS12/DYNC1H1/PPP2R1A/ARID1A/ANAPC5/CTCF/ANAPC2/ANAPC1/PBRM1/TOP2A/SMC4/ERCC4/CCNB1/NCAPG/SMC2/NCAPD2/SMC1A/NUSAP1/CTNNB1/RACGAP1/PHB2/SFPQ/ZW10/SEH1L/KPNB1/SMARCC1/ACTR3/BUB3/RAD21/NUMA1/NUDC/STAG1/ACTL6A/CDC27/BAZ1B/TRIP13/POGZ/RIOK2/SMARCE1/PLK1/NCAPG2/ECT2/SMARCC2/NCAPD3/FEN1/NCAPH/MLH1/NDC1/ZWILCH/DYNC1LI1/SMARCA4/RAN/SMARCB1/CDC23/SMARCA5/BRD7",74
"GO:0016573","GO:0016573","histone acetylation","52/1600","180/18903",1.08913994314592e-15,4.93875457855621e-14,4.08557758577224e-14,"TADA2A/EP300/DR1/SIRT1/BRD8/SF3B1/OGT/EP400/GTF2B/SRCAP/MCM3AP/YEATS4/ATG5/SIN3A/TAF5L/GTF3C4/CTCF/TRRAP/MYBBP1A/RUVBL2/TAF1/ZZZ3/MAP3K7/GLYR1/KANSL3/HAT1/SF3B5/TAF5/PAXIP1/MED24/TAF2/DEK/BRCA1/SET/TAF9/NOC2L/SF3B3/SMAD4/ACTL6A/BAZ1B/MBD3/RUVBL1/POLE3/ZMPSTE24/HCFC1/MORF4L2/TAF12/CHEK1/SMARCB1/DDX21/SMARCA5/BRD7",52
"GO:0016073","GO:0016073","snRNA metabolic process","30/1600","66/18903",1.41072212215221e-15,6.33935310386955e-14,5.24422069116799e-14,"INTS9/ICE1/METTL4/INTS1/MEPCE/EXOSC10/ICE2/EXOSC2/LARP7/METTL16/INTS3/EXOSC3/EXOSC9/TUT1/INTS6/EXOSC4/RPAP2/INTS5/NHP2/DKC1/SNAPC4/INTS10/EXOSC8/CDK7/TOE1/ZCCHC8/INTS12/EXOSC7/INTS7/EXOSC5",30
"GO:1901987","GO:1901987","regulation of cell cycle phase transition","92/1600","453/18903",1.50271383777792e-15,6.69244341324668e-14,5.53631413918182e-14,"ATM/THOC1/SMARCD1/MEPCE/PSMG2/PCID2/MAD1L1/CUL3/IK/TPR/RAD17/DDX3X/CDC16/BRCC3/GIGYF2/MDM2/ATR/SETMAR/TAOK1/RINT1/CCAR2/CDC5L/ANKRD17/INTS3/SIN3A/EIF2AK4/CENPJ/DDB1/ARID1A/ANAPC5/MEN1/TAF1/ZNF830/METTL13/PBRM1/CCNB1/CDK1/CDK2/DOT1L/AURKA/EZH2/TP53/PAXIP1/PHB2/TOPBP1/BRCA1/TIPIN/ZW10/NAE1/PRKDC/NPM1/NBN/SMARCC1/RAD50/EIF4G1/PPP2CA/TTI1/BUB3/RAD21/RAD1/EGFR/ACTL6A/CDC27/TRIP13/MDC1/CDK7/CDC73/RIOK2/RPL26/SMARCE1/PLK1/RPS27L/PSME3/SMARCC2/INTS7/PTPN11/ZWILCH/APEX1/MSH2/CHEK1/DYNC1LI1/SMARCA4/CDK4/SMARCB1/ECD/RRM1/CDC23/PRPF19/PPP1R10/BRD7/TIPRL/NSUN2",92
"GO:0006282","GO:0006282","regulation of DNA repair","57/1600","212/18903",1.59111394349049e-15,7.02343039834565e-14,5.81012264413855e-14,"SMARCD1/WRNIP1/SIRT1/ERCC8/RIF1/BRD8/TRIP12/WDR48/UBR5/UBE2N/EP400/PARP1/BRCC3/FUS/ATR/DHX9/SETMAR/SETD2/YEATS4/TAF5L/POLH/ARID1A/KDM1A/NFRKB/TRRAP/RUVBL2/MMS19/XRCC1/PBRM1/MGMT/SF3B5/TAF5/TRIM28/TAF2/DEK/BRCA1/HMGB1/PRKDC/SMARCC1/TAF9/SF3B3/EGFR/ACTL6A/POGZ/TERF2/RUVBL1/SMARCE1/PCNA/SMARCC2/MORF4L2/UCHL5/TAF12/CHEK1/SMARCA4/USP1/SMARCB1/BRD7",57
"GO:0032206","GO:0032206","positive regulation of telomere maintenance","30/1600","67/18903",2.34926441332313e-15,1.02790621874174e-13,8.50333933538937e-14,"ATM/CCT2/ATRX/ATR/MAP2K7/PARN/NFRKB/RUVBL2/HNRNPD/CTNNB1/DKC1/CCT7/HNRNPA1/TCP1/CCT8/GNL3/NBN/RAD50/CCT4/CCT5/HNRNPA2B1/ERCC1/ACTL6A/TERF2/RUVBL1/UCHL5/CCT6A/CCT3/PPP1R10/XRCC5",30
"GO:0000380","GO:0000380","alternative mRNA splicing, via spliceosome","33/1600","81/18903",2.87378926251677e-15,1.24647485577684e-13,1.03114452256895e-13,"MBNL1/FXR1/DDX5/RBM25/YTHDC1/HNRNPU/HNRNPM/SRSF1/TIA1/THRAP3/DHX9/RBM15/MAGOH/NSRP1/RBM17/KDM1A/CDK13/RBM10/KHDRBS1/RBM4/SRSF6/SRSF9/RNPS1/SFPQ/HNRNPA1/STRAP/HNRNPL/SMU1/RBMX/RBM8A/FMR1/NCBP1/NCBP2",33
"GO:0018394","GO:0018394","peptidyl-lysine acetylation","54/1600","197/18903",3.63070476893228e-15,1.56120305064088e-13,1.29150296680713e-13,"HDAC2/TADA2A/EP300/DR1/SIRT1/BRD8/SF3B1/OGT/EP400/GTF2B/SRCAP/MCM3AP/YEATS4/ATG5/SIN3A/TAF5L/GTF3C4/CTCF/TRRAP/MYBBP1A/RUVBL2/PRKAA1/TAF1/ZZZ3/MAP3K7/GLYR1/KANSL3/HAT1/SF3B5/TAF5/PAXIP1/MED24/TAF2/DEK/BRCA1/SET/TAF9/NOC2L/SF3B3/SMAD4/ACTL6A/BAZ1B/MBD3/RUVBL1/POLE3/ZMPSTE24/HCFC1/MORF4L2/TAF12/CHEK1/SMARCB1/DDX21/SMARCA5/BRD7",54
"GO:0018393","GO:0018393","internal peptidyl-lysine acetylation","52/1600","186/18903",4.85510441592511e-15,2.0698513527038e-13,1.71228153939959e-13,"TADA2A/EP300/DR1/SIRT1/BRD8/SF3B1/OGT/EP400/GTF2B/SRCAP/MCM3AP/YEATS4/ATG5/SIN3A/TAF5L/GTF3C4/CTCF/TRRAP/MYBBP1A/RUVBL2/TAF1/ZZZ3/MAP3K7/GLYR1/KANSL3/HAT1/SF3B5/TAF5/PAXIP1/MED24/TAF2/DEK/BRCA1/SET/TAF9/NOC2L/SF3B3/SMAD4/ACTL6A/BAZ1B/MBD3/RUVBL1/POLE3/ZMPSTE24/HCFC1/MORF4L2/TAF12/CHEK1/SMARCB1/DDX21/SMARCA5/BRD7",52
"GO:0031058","GO:0031058","positive regulation of histone modification","37/1600","102/18903",5.11413968522163e-15,2.16180752117674e-13,1.78835214683932e-13,"TADA2A/NIPBL/SIRT1/RIF1/AKAP8/UBE2N/SF3B1/OGT/PAXBP1/RRP8/SART3/CTR9/LMNA/KDM1A/SNW1/MYBBP1A/NELFE/RUVBL2/CHTOP/DNMT3B/GLYR1/KANSL3/CTNNB1/TP53/PAXIP1/DEK/BRCA1/SUV39H1/SMAD4/BAZ1B/DNMT1/HCFC1/SMARCB1/DDX21/SMARCA5/BRD7/NELFA",37
