"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0008033","GO:0008033","tRNA processing","61/259","134/18903",4.55563894662827e-79,5.48333269575985e-77,4.61231196701695e-77,"METTL2A/METTL2B/ALKBH8/TRMT13/TRMT5/NSUN2/LCMT2/TRMT10A/TRMT10C/METTL1/TRMT1/TRMT1L/TYW3/TRDMT1/TRMT11/TRMT44/TRMT2A/THUMPD3/TRMT61B/WDR4/TRMT12/TRMT61A/TARBP1/TRMT6/FTSJ1/THUMPD2/CDK5RAP1/TRMT2B/HSD17B10/BCDIN3D/METTL6/TRMT10B/MOCS3/SSB/PUS7/CTU2/RPP30/RTCB/MTFMT/POP4/MTO1/WDR6/RPP38/POP1/PUS3/TYW1/DUS3L/TP53RK/CDKAL1/TRNT1/PTCD1/TRUB2/TRUB1/THG1L/TSEN2/PUS1/METTL8/TSEN15/FARS2/POP7/CLP1",61
"GO:0006400","GO:0006400","tRNA modification","47/259","93/18903",1.62025538561647e-63,1.7876817754635e-61,1.50371069998441e-61,"METTL2A/METTL2B/ALKBH8/TRMT13/TRMT5/NSUN2/LCMT2/TRMT10A/TRMT10C/METTL1/TRMT1/TRMT1L/TYW3/TRDMT1/TRMT11/TRMT44/TRMT2A/THUMPD3/TRMT61B/WDR4/TRMT12/TRMT61A/TARBP1/TRMT6/FTSJ1/THUMPD2/CDK5RAP1/TRMT2B/HSD17B10/BCDIN3D/METTL6/TRMT10B/MOCS3/SSB/PUS7/CTU2/MTFMT/MTO1/WDR6/PUS3/TYW1/DUS3L/CDKAL1/TRUB1/THG1L/PUS1/METTL8",47
"GO:0030488","GO:0030488","tRNA methylation","34/259","42/18903",5.13399664119404e-57,5.22877811764685e-55,4.39819307399457e-55,"METTL2A/METTL2B/ALKBH8/TRMT13/TRMT5/NSUN2/LCMT2/TRMT10A/TRMT10C/METTL1/TRMT1/TRMT1L/TYW3/TRDMT1/TRMT11/TRMT44/TRMT2A/THUMPD3/TRMT61B/WDR4/TRMT12/TRMT61A/TARBP1/TRMT6/FTSJ1/THUMPD2/TRMT2B/HSD17B10/BCDIN3D/METTL6/TRMT10B/MTO1/WDR6/METTL8",34
"GO:0008380","GO:0008380","RNA splicing","58/259","469/18903",1.06221167755084e-38,1.00454875791236e-36,8.44977409660742e-37,"METTL16/METTL14/METTL3/TGS1/METTL4/LARP7/PRMT5/WTAP/SNRPD3/MPHOSPH10/PPIG/GEMIN5/ZC3H13/PUS7/RTCB/RRP1B/DHX15/DBR1/PRPF4B/CWC22/PRPF4/FMR1/SART3/PRPF8/DDX47/GEMIN6/DHX38/SF3A3/THOC2/WBP11/PRMT1/SON/SNRPB2/SNRPG/DDX20/TSEN2/CWC27/PUS1/SNRNP200/SNRNP40/PRPF31/EFTUD2/GEMIN4/PRPF40A/DDX23/TSEN15/SF3B3/PRMT7/DDX46/SF3B1/PPP1R8/SNRPE/SREK1/ZCCHC8/NCBP1/CLP1/RBM15B/SCAF11",58
"GO:0016556","GO:0016556","mRNA modification","21/259","30/18903",4.20150294523588e-33,3.70852659966154e-31,3.11943166039268e-31,"METTL16/NSUN2/CMTR2/TRMT10C/METTL14/METTL3/CMTR1/TRMT61B/TRMT61A/TRMT6/DKC1/WTAP/RPUSD2/ZC3H13/PUS7/CBLL1/PUS3/TRUB2/TRUB1/PUS1/METTL8",21
"GO:0000154","GO:0000154","rRNA modification","22/259","38/18903",7.56623698951279e-32,6.26106110882183e-30,5.26649916770035e-30,"METTL15/FTSJ3/METTL16/MRM1/NSUN4/EMG1/FBL/NOP2/NSUN5/TRMT61B/ZCCHC4/DIMT1/TFB1M/TFB2M/TRMT2B/METTL5/DKC1/RPUSD2/GAR1/FDXACB1/NHP2/NAF1",22
"GO:0000375","GO:0000375","RNA splicing, via transesterification reactions","42/259","333/18903",2.63588036688658e-28,2.05288565044578e-26,1.72678726202229e-26,"METTL16/METTL14/METTL3/TGS1/LARP7/PRMT5/WTAP/SNRPD3/MPHOSPH10/GEMIN5/DBR1/PRPF4B/CWC22/PRPF4/FMR1/SART3/PRPF8/GEMIN6/DHX38/SF3A3/WBP11/SON/SNRPB2/SNRPG/DDX20/CWC27/SNRNP200/SNRNP40/PRPF31/EFTUD2/GEMIN4/PRPF40A/DDX23/SF3B3/PRMT7/DDX46/SF3B1/SNRPE/ZCCHC8/NCBP1/RBM15B/SCAF11",42
"GO:0000377","GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","41/259","329/18903",1.97636404531153e-27,1.3772136821013e-25,1.15844496395546e-25,"METTL16/METTL14/METTL3/TGS1/LARP7/PRMT5/WTAP/SNRPD3/GEMIN5/DBR1/PRPF4B/CWC22/PRPF4/FMR1/SART3/PRPF8/GEMIN6/DHX38/SF3A3/WBP11/SON/SNRPB2/SNRPG/DDX20/CWC27/SNRNP200/SNRNP40/PRPF31/EFTUD2/GEMIN4/PRPF40A/DDX23/SF3B3/PRMT7/DDX46/SF3B1/SNRPE/ZCCHC8/NCBP1/RBM15B/SCAF11",41
"GO:0000398","GO:0000398","mRNA splicing, via spliceosome","41/259","329/18903",1.97636404531153e-27,1.3772136821013e-25,1.15844496395546e-25,"METTL16/METTL14/METTL3/TGS1/LARP7/PRMT5/WTAP/SNRPD3/GEMIN5/DBR1/PRPF4B/CWC22/PRPF4/FMR1/SART3/PRPF8/GEMIN6/DHX38/SF3A3/WBP11/SON/SNRPB2/SNRPG/DDX20/CWC27/SNRNP200/SNRNP40/PRPF31/EFTUD2/GEMIN4/PRPF40A/DDX23/SF3B3/PRMT7/DDX46/SF3B1/SNRPE/ZCCHC8/NCBP1/RBM15B/SCAF11",41
"GO:0031167","GO:0031167","rRNA methylation","17/259","27/18903",9.29864361735115e-26,6.15570207468646e-24,5.17787628797764e-24,"METTL15/FTSJ3/METTL16/MRM1/NSUN4/EMG1/FBL/NOP2/NSUN5/TRMT61B/ZCCHC4/DIMT1/TFB1M/TFB2M/TRMT2B/METTL5/FDXACB1",17
"GO:0080009","GO:0080009","mRNA methylation","14/259","16/18903",6.76312483494822e-25,4.26398918165307e-23,3.58665968690487e-23,"METTL16/NSUN2/CMTR2/TRMT10C/METTL14/METTL3/CMTR1/TRMT61B/TRMT61A/TRMT6/WTAP/ZC3H13/CBLL1/METTL8",14
"GO:0031123","GO:0031123","RNA 3'-end processing","25/259","113/18903",2.17325939769837e-23,1.30790701934211e-21,1.10014758027027e-21,"TRMT10C/FBL/LARP7/HSD17B10/DKC1/MTPAP/EXOSC9/SSB/EXOSC5/SCAF8/CSTF1/EXOSC2/EXOSC8/INTS7/EXOSC7/TRNT1/POLR2D/FIP1L1/PTCD1/INTS12/EXOSC6/INTS2/CPSF2/NCBP1/CLP1",25
"GO:0090501","GO:0090501","RNA phosphodiester bond hydrolysis","26/259","158/18903",8.44237479319115e-21,4.85987140268917e-19,4.08788674196624e-19,"DIS3/EXOSC9/UTP23/RPP30/POP4/UTP20/EXOSC5/NOP14/DBR1/FCF1/RPP38/POP1/EXOSC2/EXOSC8/EXOSC7/FIP1L1/TSEN2/PDE12/RRP36/CPSF2/NHP2/DROSHA/RNASEH1/PPP1R8/NCBP1/POP7",26
"GO:0090305","GO:0090305","nucleic acid phosphodiester bond hydrolysis","29/259","253/18903",1.34922166763905e-18,7.44320619980877e-17,6.26086194895665e-17,"DIS3/EXOSC9/UTP23/RPP30/POP4/UTP20/EXOSC5/NOP14/MRPL44/DBR1/FCF1/RPP38/POP1/EXOSC2/EXOSC8/EXOSC7/TSN/FIP1L1/G3BP1/TSEN2/PDE12/RRP36/CPSF2/NHP2/DROSHA/RNASEH1/PPP1R8/NCBP1/POP7",29
"GO:0016073","GO:0016073","snRNA metabolic process","17/259","66/18903",1.72454834650681e-17,9.11422652600935e-16,7.66644272898544e-16,"METTL16/MEPCE/METTL4/LARP7/DKC1/EXOSC9/EXOSC5/EXOSC2/EXOSC8/INTS7/EXOSC7/INTS12/EXOSC6/INTS2/NHP2/RPAP2/ZCCHC8",17
"GO:0030490","GO:0030490","maturation of SSU-rRNA","16/259","55/18903",1.78980279211664e-17,9.11422652600935e-16,7.66644272898544e-16,"WDR3/MPHOSPH10/UTP23/UTP3/NOL11/DCAF13/BYSL/UTP20/UTP6/NOP14/FCF1/IMP3/SRFBP1/IMP4/HEATR1/RRP36",16
"GO:0022618","GO:0022618","ribonucleoprotein complex assembly","27/259","234/18903",1.86084067978876e-17,9.12501133348267e-16,7.67551438291037e-16,"NOP2/TGS1/PRMT5/SNRPD3/GEMIN5/RPF2/SART3/PRPF8/POLR2D/GEMIN6/SF3A3/SNRPB2/SNRPG/DDX20/SNRNP200/PRPF31/GEMIN4/DDX23/SF3B3/PRMT7/DDX46/SF3B1/SNRPE/NCBP1/NAF1/CLP1/SCAF11",27
"GO:0071826","GO:0071826","ribonucleoprotein complex subunit organization","27/259","242/18903",4.42029281994276e-17,2.09016703343008e-15,1.75814654266896e-15,"NOP2/TGS1/PRMT5/SNRPD3/GEMIN5/RPF2/SART3/PRPF8/POLR2D/GEMIN6/SF3A3/SNRPB2/SNRPG/DDX20/SNRNP200/PRPF31/GEMIN4/DDX23/SF3B3/PRMT7/DDX46/SF3B1/SNRPE/NCBP1/NAF1/CLP1/SCAF11",27
"GO:0000959","GO:0000959","mitochondrial RNA metabolic process","15/259","50/18903",1.10059963751542e-16,5.02480662093248e-15,4.22662220142039e-15,"TRMT5/TRMT10C/TRMT61B/TFB1M/METTL4/TFB2M/CDK5RAP1/MTERF4/HSD17B10/YARS2/MTO1/TRNT1/TFAM/PUS1/PDE12",15
"GO:0042274","GO:0042274","ribosomal small subunit biogenesis","17/259","78/18903",3.71467143613524e-16,1.63940832714768e-14,1.37899030857231e-14,"EMG1/WDR3/MPHOSPH10/UTP23/UTP3/NOL11/DCAF13/BYSL/UTP20/UTP6/NOP14/FCF1/IMP3/SRFBP1/IMP4/HEATR1/RRP36",17
"GO:0036260","GO:0036260","RNA capping","11/259","20/18903",3.89152604796044e-16,1.66205822177407e-14,1.39804229498884e-14,"CMTR2/CMTR1/RNMT/TGS1/RNGTT/SNRPD3/UTP20/NOP14/SNRPG/SNRPE/NCBP1",11
"GO:0000966","GO:0000966","RNA 5'-end processing","11/259","23/18903",3.02098526954254e-15,1.24993265527323e-13,1.05138237341316e-13,"TRMT10C/HSD17B10/SSB/RPP30/POP4/UTP20/NOP14/RPP38/POP1/THG1L/POP7",11
"GO:0001522","GO:0001522","pseudouridine synthesis","10/259","18/18903",7.78958581030948e-15,3.12527624631811e-13,2.62882991620652e-13,"DKC1/RPUSD2/PUS7/GAR1/PUS3/TRUB2/TRUB1/PUS1/NHP2/NAF1",10
"GO:0006401","GO:0006401","RNA catabolic process","26/259","299/18903",7.10103915357049e-14,2.76522818803745e-12,2.32597505401783e-12,"METTL16/NSUN2/METTL14/METTL3/TRDMT1/DKC1/MTPAP/DIS3/EXOSC9/SSB/EXOSC5/POP1/EXOSC2/EXOSC8/FMR1/UPF2/EXOSC7/POLR2D/EXOSC6/PDE12/RNASEH1/PPP1R8/ZCCHC8/NCBP1/NAF1/HNRNPA0",26
"GO:0006479","GO:0006479","protein methylation","22/259","208/18903",1.21437288506065e-13,4.46619361061195e-12,3.75674418828705e-12,"FBL/PRMT5/SNRPD3/RBBP5/SETD2/WDR5/RRP8/METTL18/PRMT3/SUZ12/SETDB1/PRMT1/NSD1/SUV39H1/SUV39H2/CTR9/CARM1/SETD1A/EHMT1/PRMT7/ASH2L/KMT2D",22
"GO:0008213","GO:0008213","protein alkylation","22/259","208/18903",1.21437288506065e-13,4.46619361061195e-12,3.75674418828705e-12,"FBL/PRMT5/SNRPD3/RBBP5/SETD2/WDR5/RRP8/METTL18/PRMT3/SUZ12/SETDB1/PRMT1/NSD1/SUV39H1/SUV39H2/CTR9/CARM1/SETD1A/EHMT1/PRMT7/ASH2L/KMT2D",22
"GO:0000387","GO:0000387","spliceosomal snRNP assembly","13/259","51/18903",1.33032804049894e-13,4.76041709627188e-12,4.00423063114616e-12,"TGS1/PRMT5/SNRPD3/GEMIN5/SART3/PRPF8/GEMIN6/SNRPG/DDX20/PRPF31/GEMIN4/PRMT7/SNRPE",13
"GO:0099116","GO:0099116","tRNA 5'-end processing","9/259","16/18903",1.55856899277138e-13,5.43038249060343e-12,4.56777283754049e-12,"TRMT10C/HSD17B10/SSB/RPP30/POP4/RPP38/POP1/THG1L/POP7",9
"GO:0090646","GO:0090646","mitochondrial tRNA processing","8/259","12/18903",5.26452064135755e-13,1.77029508445928e-11,1.48908586369686e-11,"TRMT5/TRMT10C/TRMT61B/CDK5RAP1/HSD17B10/MTO1/TRNT1/PUS1",8
"GO:0000466","GO:0000466","maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","10/259","25/18903",5.34832351800386e-13,1.77029508445928e-11,1.48908586369686e-11,"FTSJ3/EXOSC9/UTP20/NOP14/FCF1/WDR12/EXOSC2/PES1/EXOSC8/EXOSC7",10
"GO:0140053","GO:0140053","mitochondrial gene expression","19/259","163/18903",1.04870174350671e-12,3.38653928878754e-11,2.84859164218255e-11,"TRMT5/TRMT10C/TRMT61B/TFB1M/METTL4/TFB2M/CDK5RAP1/MTERF4/HSD17B10/YARS2/MTO1/MRPL44/TRNT1/PTCD1/TRUB2/TFAM/QRSL1/PUS1/METTL8",19
"GO:0000460","GO:0000460","maturation of 5.8S rRNA","11/259","36/18903",1.14703652901112e-12,3.61589610573981e-11,3.04151540775379e-11,"FTSJ3/EXOSC9/RPF1/UTP20/NOP14/FCF1/WDR12/EXOSC2/PES1/EXOSC8/EXOSC7",11
"GO:0043628","GO:0043628","small regulatory ncRNA 3'-end processing","9/259","19/18903",1.21414166421265e-12,3.73842689166873e-11,3.14458232738552e-11,"FBL/LARP7/DKC1/EXOSC9/EXOSC5/EXOSC2/EXOSC8/EXOSC7/EXOSC6",9
"GO:0016571","GO:0016571","histone methylation","19/259","167/18903",1.62686047865746e-12,4.89537107668746e-11,4.11774733593205e-11,"FBL/PRMT5/RBBP5/SETD2/WDR5/RRP8/SUZ12/SETDB1/PRMT1/NSD1/SUV39H1/SUV39H2/CTR9/CARM1/SETD1A/EHMT1/PRMT7/ASH2L/KMT2D",19
"GO:0000469","GO:0000469","cleavage involved in rRNA processing","10/259","28/18903",2.07100189464384e-12,6.09334779668545e-11,5.12542691118874e-11,"EXOSC9/UTP23/UTP20/NOP14/FCF1/EXOSC2/EXOSC8/EXOSC7/RRP36/NHP2",10
"GO:0006417","GO:0006417","regulation of translation","29/259","486/18903",3.1094998417014e-11,8.94995171828837e-10,7.52826277464549e-10,"METTL16/TRMT10C/METTL14/METTL3/NSUN5/ZCCHC4/CDK5RAP1/METTL5/DIS3/EXOSC9/GEMIN5/PUS7/NOLC1/EXOSC5/METTL18/EXOSC2/EXOSC8/FMR1/DUS3L/EXOSC7/POLR2D/TRUB2/PDE12/TCOF1/METTL8/ABCE1/DPH5/NCBP1/DDX6",29
"GO:0034661","GO:0034661","ncRNA catabolic process","11/259","49/18903",4.75340363659908e-11,1.33904391805472e-09,1.12633842049761e-09,"NSUN2/TRDMT1/DIS3/EXOSC9/EXOSC5/POP1/EXOSC2/EXOSC8/EXOSC7/EXOSC6/ZCCHC8",11
"GO:0070525","GO:0070525","tRNA threonylcarbamoyladenosine metabolic process","8/259","19/18903",7.39754597316783e-11,2.04048976426546e-09,1.71636044728324e-09,"TRMT5/TRMT10C/TRMT61B/CDK5RAP1/HSD17B10/MTO1/TP53RK/PUS1",8
"GO:0000462","GO:0000462","maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","10/259","39/18903",8.78853556756188e-11,2.37469818192896e-09,1.99748026433522e-09,"UTP23/UTP3/DCAF13/BYSL/UTP20/UTP6/NOP14/FCF1/HEATR1/RRP36",10
