"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0043414","GO:0043414","macromolecule methylation","74/262","348/18903",2.09151876112299e-67,2.07250495420369e-65,1.7272542496164e-65,"FTSJ3/EMG1/METTL16/METTL2B/TRMT11/ALKBH8/NSUN2/RNMT/TRMT10C/MRM1/METTL1/TRMT1/NOP2/TRMT13/METTL15/TRDMT1/METTL3/LARP7/LCMT2/METTL18/TRMT5/METTL2A/CMTR2/FBL/TRMT2A/METTL4/DIMT1/TRMT1L/NSUN4/METTL14/TYW3/TRMT44/TRMT10A/NSUN5/MEPCE/THUMPD3/CMTR1/TRMT6/TARBP1/ZCCHC4/THUMPD2/TRMT10B/METTL6/TRMT12/HENMT1/ZC3H13/WTAP/PCIF1/HSD17B10/WDR6/METTL5/CBLL1/METTL8/TRMT61B/FBLL1/TRMT61A/RBM15B/CHTOP/FDXACB1/WDR4/MTO1/FTSJ1/TFB2M/RBBP5/PCMTD2/SNRPD3/TRMT112/TRMT2B/RRP8/TGS1/BCDIN3D/SETD2/TFB1M/ASH2L",74
"GO:0006400","GO:0006400","tRNA modification","48/262","93/18903",3.23167436015283e-65,2.93543754380548e-63,2.4464341866771e-63,"METTL2B/TRMT11/ALKBH8/NSUN2/TRMT10C/METTL1/TRMT1/TRMT13/TRDMT1/LCMT2/TRMT5/METTL2A/PUS3/TRMT2A/TRMT1L/TYW3/TRMT44/TRMT10A/THUMPD3/TRMT6/TARBP1/THUMPD2/TRMT10B/METTL6/CDK5RAP1/TRMT12/HSD17B10/WDR6/METTL8/TRMT61B/TRMT61A/CDKAL1/WDR4/MTO1/FTSJ1/TYW1/SSB/TRUB1/PUS7/CTU2/TRMT112/PUS10/TRMT2B/BCDIN3D/DUS3L/TRMU/MOCS3/MTFMT",48
"GO:0030488","GO:0030488","tRNA methylation","35/262","42/18903",2.17882812172037e-59,1.82686357898092e-57,1.52253333525885e-57,"METTL2B/TRMT11/ALKBH8/NSUN2/TRMT10C/METTL1/TRMT1/TRMT13/TRDMT1/LCMT2/TRMT5/METTL2A/TRMT2A/TRMT1L/TYW3/TRMT44/TRMT10A/THUMPD3/TRMT6/TARBP1/THUMPD2/TRMT10B/METTL6/TRMT12/HSD17B10/WDR6/METTL8/TRMT61B/TRMT61A/WDR4/MTO1/FTSJ1/TRMT112/TRMT2B/BCDIN3D",35
"GO:0008380","GO:0008380","RNA splicing","62/262","469/18903",6.70515417598317e-43,5.2204414655869e-41,4.35078801043119e-41,"METTL16/METTL3/LARP7/METTL4/PRPF4B/METTL14/ZC3H13/WTAP/FMR1/PPIG/RBM15B/DHX38/SF3B1/DDX47/DDX46/CDC40/GPATCH1/PRPF38B/ZCCHC8/SRRM2/CWC22/DHX16/RBM10/TSEN2/DHX8/HNRNPH3/TSEN15/DDX23/RTCB/DHX15/CDK13/CRNKL1/SRRM1/SCAF11/MPHOSPH10/CLP1/CWC27/PUS7/SNRPD3/SNRNP70/PRPF3/DBR1/TGS1/LUC7L3/BUD13/LSM1/SUGP2/DDX17/PRPF18/GEMIN4/HNRNPA1L2/SRSF2/EFTUD2/RBM23/CD2BP2/SNRNP35/RBM25/SRSF11/DDX20/RBM19/SART3/ACIN1",62
"GO:0000375","GO:0000375","RNA splicing, via transesterification reactions","48/262","333/18903",7.59087802132582e-35,5.5160380288301e-33,4.59714226835381e-33,"METTL16/METTL3/LARP7/PRPF4B/METTL14/WTAP/FMR1/RBM15B/DHX38/SF3B1/DDX46/CDC40/GPATCH1/ZCCHC8/SRRM2/CWC22/DHX16/RBM10/DHX8/HNRNPH3/DDX23/CDK13/CRNKL1/SRRM1/SCAF11/MPHOSPH10/CWC27/SNRPD3/SNRNP70/PRPF3/DBR1/TGS1/LUC7L3/BUD13/LSM1/DDX17/PRPF18/GEMIN4/HNRNPA1L2/SRSF2/EFTUD2/RBM23/CD2BP2/SNRNP35/RBM25/DDX20/RBM19/SART3",48
"GO:0016556","GO:0016556","mRNA modification","21/262","30/18903",5.39626892982938e-33,3.67620820844626e-31,3.06380268844918e-31,"METTL16/NSUN2/TRMT10C/METTL3/CMTR2/PUS3/METTL14/CMTR1/TRMT6/ZC3H13/WTAP/PCIF1/CBLL1/METTL8/TRMT61B/TRUB2/TRMT61A/RPUSD2/TRUB1/PUS7/DKC1",21
"GO:0000377","GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","46/262","329/18903",8.75470240624342e-33,5.3014586793363e-31,4.4183088751977e-31,"METTL16/METTL3/LARP7/PRPF4B/METTL14/WTAP/FMR1/RBM15B/DHX38/SF3B1/DDX46/CDC40/GPATCH1/ZCCHC8/SRRM2/CWC22/DHX16/RBM10/DHX8/HNRNPH3/DDX23/CDK13/CRNKL1/SRRM1/SCAF11/CWC27/SNRPD3/SNRNP70/PRPF3/DBR1/TGS1/LUC7L3/BUD13/DDX17/PRPF18/GEMIN4/HNRNPA1L2/SRSF2/EFTUD2/RBM23/CD2BP2/SNRNP35/RBM25/DDX20/RBM19/SART3",46
"GO:0000398","GO:0000398","mRNA splicing, via spliceosome","46/262","329/18903",8.75470240624342e-33,5.3014586793363e-31,4.4183088751977e-31,"METTL16/METTL3/LARP7/PRPF4B/METTL14/WTAP/FMR1/RBM15B/DHX38/SF3B1/DDX46/CDC40/GPATCH1/ZCCHC8/SRRM2/CWC22/DHX16/RBM10/DHX8/HNRNPH3/DDX23/CDK13/CRNKL1/SRRM1/SCAF11/CWC27/SNRPD3/SNRNP70/PRPF3/DBR1/TGS1/LUC7L3/BUD13/DDX17/PRPF18/GEMIN4/HNRNPA1L2/SRSF2/EFTUD2/RBM23/CD2BP2/SNRNP35/RBM25/DDX20/RBM19/SART3",46
"GO:0031167","GO:0031167","rRNA methylation","19/262","27/18903",5.13844482854202e-30,2.94784466479516e-28,2.45677445264918e-28,"FTSJ3/EMG1/METTL16/MRM1/NOP2/METTL15/FBL/DIMT1/NSUN4/NSUN5/ZCCHC4/METTL5/TRMT61B/FBLL1/FDXACB1/TFB2M/TRMT112/TRMT2B/TFB1M",19
"GO:0000154","GO:0000154","rRNA modification","21/262","38/18903",9.84115301343353e-30,5.36342839232128e-28,4.46995528978586e-28,"FTSJ3/EMG1/METTL16/MRM1/NOP2/METTL15/FBL/DIMT1/NSUN4/NSUN5/ZCCHC4/METTL5/TRMT61B/FBLL1/FDXACB1/RPUSD2/TFB2M/TRMT112/TRMT2B/DKC1/TFB1M",21
"GO:0080009","GO:0080009","mRNA methylation","15/262","16/18903",1.41378091524929e-27,7.33819617915108e-26,6.11575403438666e-26,"METTL16/NSUN2/TRMT10C/METTL3/CMTR2/METTL14/CMTR1/TRMT6/ZC3H13/WTAP/PCIF1/CBLL1/METTL8/TRMT61B/TRMT61A",15
"GO:0031123","GO:0031123","RNA 3'-end processing","27/262","113/18903",5.11514410220975e-26,2.53432139609483e-24,2.11213844985981e-24,"TRMT10C/LARP7/FBL/PAPOLG/EXOSC2/HSD17B10/MTPAP/FBLL1/CSTF2T/EXOSC10/EXOSC5/WDR33/SSB/FIP1L1/SCAF8/PARN/EXOSC8/CSTF1/CPSF7/CLP1/INTS12/PTCD1/CPSF2/EXOSC9/DKC1/INTS7/TRNT1",27
"GO:0090501","GO:0090501","RNA phosphodiester bond hydrolysis","30/262","158/18903",1.27225458539178e-25,6.02938042642193e-24,5.02496891163894e-24,"RPP38/EXOSC2/UTP23/CSTF2T/RPP30/EXOSC10/EXOSC5/DIS3L/FIP1L1/TSEN2/POP1/POP5/PARN/EXOSC8/DIS3/POP7/CPSF7/FCF1/POP4/NOL9/CPSF2/EXOSC9/DBR1/AGO3/RPP40/NOP14/DROSHA/PAN2/UTP20/XRN1",30
"GO:0090305","GO:0090305","nucleic acid phosphodiester bond hydrolysis","34/262","253/18903",9.12086850040996e-24,4.14239444393619e-22,3.4523287350236e-22,"RPP38/EXOSC2/UTP23/CSTF2T/RPP30/EXOSC10/TSN/EXOSC5/DIS3L/FIP1L1/TSEN2/POP1/POP5/PARN/EXOSC8/DIS3/PMS2/MRPL44/POP7/CPSF7/FCF1/POP4/NOL9/CPSF2/EXOSC9/DBR1/AGO3/RPP40/DCP1A/NOP14/DROSHA/PAN2/UTP20/XRN1",34
"GO:0006401","GO:0006401","RNA catabolic process","31/262","299/18903",2.18023263192258e-18,9.50581427518244e-17,7.9222768898913e-17,"METTL16/NSUN2/TRDMT1/METTL3/METTL14/EXOSC2/FMR1/MTPAP/UPF2/EXOSC10/EXOSC5/ZCCHC8/DIS3L/SSB/RBM10/POP1/PARN/EXOSC8/DIS3/EXOSC1/EXOSC9/AGO3/DKC1/FASTKD2/DCP1A/LSM1/PAN2/XRN1/YTHDF1/PATL1/PHAX",31
"GO:0000966","GO:0000966","RNA 5'-end processing","12/262","23/18903",4.6133457908243e-17,1.9340565046148e-15,1.61186939979003e-15,"TRMT10C/RPP38/HSD17B10/RPP30/SSB/POP1/POP5/POP7/POP4/RPP40/NOP14/UTP20",12
"GO:1903311","GO:1903311","regulation of mRNA metabolic process","30/262","309/18903",4.99853704099331e-17,2.01792791654915e-15,1.68176899273966e-15,"METTL16/METTL3/LARP7/METTL14/EXOSC2/WTAP/FMR1/RBM15B/EXOSC5/CWC22/RBM10/PARN/EXOSC8/DIS3/CPSF7/SRRM1/SNRNP70/EXOSC9/SAFB2/FASTKD2/DCP1A/SLTM/LSM1/DDX17/PAN2/SRSF2/RBM23/RBM25/YTHDF1/PATL1",30
"GO:0000959","GO:0000959","mitochondrial RNA metabolic process","15/262","50/18903",1.30754608581907e-16,5.09009011979565e-15,4.24215139872877e-15,"TRMT10C/TRMT5/METTL4/CDK5RAP1/MTERF4/HSD17B10/TRMT61B/MTO1/TFB2M/TEFM/SARS2/FASTKD2/TRNT1/YARS2/TFB1M",15
"GO:0000460","GO:0000460","maturation of 5.8S rRNA","13/262","36/18903",8.99855219041053e-16,3.38221444398189e-14,2.81878422516308e-14,"FTSJ3/EXOSC2/EXOSC10/EXOSC8/FCF1/NOL9/EXOSC9/RPP40/NOP14/NSA2/UTP20/MPHOSPH6/RPF1",13
"GO:0099116","GO:0099116","tRNA 5'-end processing","10/262","16/18903",1.64046635729655e-15,5.96036109817746e-14,4.96744725034008e-14,"TRMT10C/RPP38/HSD17B10/RPP30/SSB/POP1/POP5/POP7/POP4/RPP40",10
"GO:0034655","GO:0034655","nucleobase-containing compound catabolic process","32/262","428/18903",7.94231128260529e-15,2.79261912839992e-13,2.32740734699096e-13,"METTL16/NSUN2/TRDMT1/METTL3/METTL14/EXOSC2/FMR1/MTPAP/UPF2/EXOSC10/EXOSC5/ZCCHC8/DIS3L/SSB/RBM10/POP1/PARN/EXOSC8/DIS3/EXOSC1/EXOSC9/AGO3/DKC1/FASTKD2/DCP1A/LSM1/PAN2/MBD4/XRN1/YTHDF1/PATL1/PHAX",32
"GO:0043628","GO:0043628","small regulatory ncRNA 3'-end processing","10/262","19/18903",1.82441220828483e-14,6.21440408447019e-13,5.17917018338752e-13,"LARP7/FBL/EXOSC2/FBLL1/EXOSC10/EXOSC5/PARN/EXOSC8/EXOSC9/DKC1",10
"GO:0090502","GO:0090502","RNA phosphodiester bond hydrolysis, endonucleolytic","16/262","86/18903",4.7682815233894e-14,1.57497783651347e-12,1.3126082790064e-12,"RPP38/UTP23/RPP30/TSEN2/POP1/POP5/POP7/FCF1/POP4/NOL9/DBR1/AGO3/RPP40/NOP14/DROSHA/UTP20",16
"GO:0034661","GO:0034661","ncRNA catabolic process","13/262","49/18903",8.71368623320343e-14,2.79350529240934e-12,2.32814588831411e-12,"NSUN2/TRDMT1/EXOSC2/EXOSC10/EXOSC5/ZCCHC8/DIS3L/POP1/PARN/EXOSC8/DIS3/EXOSC9/XRN1",13
"GO:0046700","GO:0046700","heterocycle catabolic process","32/262","468/18903",9.48128397602244e-14,2.95274272396127e-12,2.46085656279921e-12,"METTL16/NSUN2/TRDMT1/METTL3/METTL14/EXOSC2/FMR1/MTPAP/UPF2/EXOSC10/EXOSC5/ZCCHC8/DIS3L/SSB/RBM10/POP1/PARN/EXOSC8/DIS3/EXOSC1/EXOSC9/AGO3/DKC1/FASTKD2/DCP1A/LSM1/PAN2/MBD4/XRN1/YTHDF1/PATL1/PHAX",32
"GO:0140053","GO:0140053","mitochondrial gene expression","20/262","163/18903",1.21006768367362e-13,3.66381604223402e-12,3.05347488599513e-12,"TRMT10C/TRMT5/METTL4/CDK5RAP1/MTERF4/HSD17B10/METTL8/TRMT61B/TRUB2/MTO1/TFB2M/TEFM/QRSL1/MRPL44/SARS2/PTCD1/FASTKD2/TRNT1/YARS2/TFB1M",20
"GO:0044270","GO:0044270","cellular nitrogen compound catabolic process","32/262","474/18903",1.34429835434798e-13,3.96023028713324e-12,3.30051061110187e-12,"METTL16/NSUN2/TRDMT1/METTL3/METTL14/EXOSC2/FMR1/MTPAP/UPF2/EXOSC10/EXOSC5/ZCCHC8/DIS3L/SSB/RBM10/POP1/PARN/EXOSC8/DIS3/EXOSC1/EXOSC9/AGO3/DKC1/FASTKD2/DCP1A/LSM1/PAN2/MBD4/XRN1/YTHDF1/PATL1/PHAX",32
"GO:0043487","GO:0043487","regulation of RNA stability","21/262","187/18903",1.70907953339804e-13,4.9023597142207e-12,4.08569428621194e-12,"METTL16/NSUN2/TRDMT1/METTL3/METTL14/EXOSC2/FMR1/EXOSC5/RBM10/PARN/EXOSC8/DIS3/EXOSC9/DKC1/FASTKD2/DCP1A/LSM1/PAN2/YTHDF1/PATL1/PHAX",21
"GO:0016073","GO:0016073","snRNA metabolic process","14/262","66/18903",2.77843008992409e-13,7.76535589235194e-12,6.4717548383387e-12,"METTL16/LARP7/METTL4/MEPCE/EXOSC2/EXOSC10/EXOSC5/ZCCHC8/EXOSC8/INTS12/EXOSC9/DKC1/INTS10/INTS7",14
"GO:0019439","GO:0019439","aromatic compound catabolic process","32/262","489/18903",3.14227829045716e-13,8.56270834149576e-12,7.13627938069613e-12,"METTL16/NSUN2/TRDMT1/METTL3/METTL14/EXOSC2/FMR1/MTPAP/UPF2/EXOSC10/EXOSC5/ZCCHC8/DIS3L/SSB/RBM10/POP1/PARN/EXOSC8/DIS3/EXOSC1/EXOSC9/AGO3/DKC1/FASTKD2/DCP1A/LSM1/PAN2/MBD4/XRN1/YTHDF1/PATL1/PHAX",32
"GO:0071826","GO:0071826","ribonucleoprotein complex subunit organization","23/262","242/18903",4.13662082101363e-13,1.09973577924509e-11,9.16534985503149e-12,"NOP2/SF3B1/DDX46/DHX8/DDX23/DHX30/CRNKL1/CPSF7/SCAF11/CLP1/SNRPD3/PRPF3/TGS1/LUC7L3/AGO3/FASTKD2/BUD13/PRPF18/GEMIN4/CD2BP2/RPF2/DDX20/SART3",23
"GO:0031126","GO:0031126","sno(s)RNA 3'-end processing","8/262","12/18903",5.77658515496592e-13,1.49916138545544e-11,1.24942180168812e-11,"LARP7/FBL/EXOSC2/FBLL1/EXOSC10/EXOSC5/PARN/DKC1",8
"GO:0000466","GO:0000466","maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","10/262","25/18903",6.00022801252496e-13,1.52098803108191e-11,1.26761242957382e-11,"FTSJ3/EXOSC2/EXOSC10/EXOSC8/FCF1/NOL9/EXOSC9/RPP40/NOP14/UTP20",10
"GO:0006402","GO:0006402","mRNA catabolic process","23/262","248/18903",6.93414086071324e-13,1.71777580413124e-11,1.43161807722381e-11,"METTL16/METTL3/METTL14/EXOSC2/FMR1/MTPAP/UPF2/EXOSC10/EXOSC5/SSB/RBM10/PARN/EXOSC8/DIS3/EXOSC9/AGO3/FASTKD2/DCP1A/LSM1/PAN2/XRN1/YTHDF1/PATL1",23
"GO:0001682","GO:0001682","tRNA 5'-leader removal","8/262","13/18903",1.48397315167775e-12,3.59451274517498e-11,2.99571656116466e-11,"RPP38/RPP30/SSB/POP1/POP5/POP7/POP4/RPP40",8
"GO:0022618","GO:0022618","ribonucleoprotein complex assembly","22/262","234/18903",1.70039922742836e-12,4.02920686499329e-11,3.35799664363999e-11,"NOP2/SF3B1/DDX46/DDX23/DHX30/CRNKL1/CPSF7/SCAF11/CLP1/SNRPD3/PRPF3/TGS1/LUC7L3/AGO3/FASTKD2/BUD13/PRPF18/GEMIN4/CD2BP2/RPF2/DDX20/SART3",22
"GO:0000469","GO:0000469","cleavage involved in rRNA processing","10/262","28/18903",2.32241966969332e-12,5.38603710631004e-11,4.48879770424488e-11,"EXOSC2/UTP23/EXOSC10/EXOSC8/FCF1/NOL9/EXOSC9/RPP40/NOP14/UTP20",10
"GO:0042274","GO:0042274","ribosomal small subunit biogenesis","14/262","78/18903",3.16914027878625e-12,7.19658938307712e-11,5.99773697498364e-11,"EMG1/UTP23/WDR3/MPHOSPH10/FCF1/UTP3/BYSL/RPP40/NOP14/DCAF13/UTP20/METTL17/SRFBP1/DHX37",14
